IDRSSD,rank,Name,rankName,FDIC Certificate Number,rankFDIC,Zip Code,rankZIP,City,rankCity
37,1,BANK OF HANCOCK COUNTY,45,10057,188,31087,98,SPARTA,435
242,2,FIRST COMMUNITY BANK XENIA-FLORA,201,3850,73,62899,298,XENIA,498
279,3,"MINEOLA COMMUNITY BANK, SSB",361,28868,445,75773,425,MINEOLA,306
354,4,BISON STATE BANK,71,14083,263,67520,326,BISON,42
457,5,LOWRY STATE BANK,342,10202,198,56349,263,LOWRY,262
505,6,BALLSTON SPA NATIONAL BANK,27,6959,134,12020,37,BALLSTON SPA,19
1155,7,FIRST STATE BANK & TRUST COMPANY,263,17639,340,68025,334,FREMONT,161
1351,8,BANK OF GRANDIN,44,9392,173,63943,302,GRANDIN,171
1454,9,HILLTOP NATIONAL BANK,305,19184,364,82609,450,CASPER,83
1557,10,"FIRST STATE BANK, KIOWA, KANSAS, THE",273,15328,286,67070,320,KIOWA,230
1669,11,"LIBERTY NATIONAL BANK IN PARIS, THE",340,3384,67,75460,421,PARIS,380
1829,12,ALLEGHENY VALLEY BANK OF PITTSBURGH,7,6058,118,15201,46,PITTSBURGH,394
1856,13,WASHITA STATE BANK,488,22430,395,73624,400,BURNS FLAT,73
2040,14,FARMERS & MERCHANTS BANK,169,13046,247,54660,219,TOMAH,455
2161,15,LAMAR NATIONAL BANK,334,23597,407,75460,422,PARIS,381
2376,16,ORITANI BANK,381,28866,444,7676,23,TOWNSHIP OF WASHINGTON,460
2554,17,STATE BANK OF MARIETTA,451,18525,354,56257,258,MARIETTA,275
2732,18,"ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION",5,17230,335,60625,287,CHICAGO,94
2750,19,GENOA COMMUNITY BANK,286,5408,104,68640,343,GENOA,165
3252,20,"FIRST NATIONAL BANK OF GORDON, THE",234,5410,105,69343,359,GORDON,168
3458,21,FARMERS BANK OF GREEN CITY,182,16103,302,63545,300,GREEN CITY,174
3720,22,"BANK OF CLARENDON, THE",37,15671,294,29102,81,MANNING,272
3971,23,MIDCOUNTRY BANK,358,28865,443,62959,299,MARION,276
4156,24,KANZA BANK,325,13157,252,67068,319,KINGMAN,229
4231,25,FARMERS AND MERCHANTS BANK,176,16440,312,30467,86,SYLVANIA,449
4839,26,AUSTIN BANK OF CHICAGO,24,11694,222,60644,288,CHICAGO,95
5069,27,FIRST CREDIT BANK,202,24332,409,90069,460,WEST HOLLYWOOD,481
5135,28,FIRST STATE BANK OF BLAKELY,268,15496,290,39823,145,BLAKELY,43
5210,29,ACNB BANK,1,7506,138,17325,50,GETTYSBURG,166
5461,30,BAC COMMUNITY BANK,25,19434,367,95202,463,STOCKTON,445
5751,31,KEARNY COUNTY BANK,326,15194,283,67860,331,LAKIN,237
6039,32,PINELAND BANK,403,15699,295,31510,99,ALMA,4
6141,33,TALLAHATCHIE COUNTY BANK,462,16567,317,38921,132,CHARLESTON,88
6329,34,ANDERSON BROTHERS BANK,19,9923,183,29574,82,MULLINS,328
7009,35,BESSEMER TRUST COMPANY,70,20015,373,70951191,474,WOODBRIDGE,494
7045,36,"PEOPLES BANK, THE",394,5779,111,47220,175,BROWNSTOWN,62
7072,37,WALLKILL VALLEY FEDERAL SAVINGS AND LOAN ASSOCIATION,485,28870,446,12589,39,WALLKILL,468
7157,38,STATE BANK OF BLUE RAPIDS,446,15057,279,66411,313,BLUE RAPIDS,45
7456,39,BANK OF HARTINGTON,46,13962,259,68739,347,HARTINGTON,186
7634,40,"FOUR COUNTY BANK, THE",280,15904,298,31003,94,ALLENTOWN,3
8033,41,PEOPLES BANK AND TRUST COMPANY OF POINTE COUPEE PARISH,392,23090,403,70760,366,NEW ROADS,337
8462,42,"PERRYTON NATIONAL BANK, THE",400,3388,68,790703556,499,PERRYTON,390
8631,43,"PLEASANTS COUNTY BANK, THE",408,847,14,26170,76,SAINT MARYS,422
9357,44,FIDELITY BANK,192,20268,378,55435,239,EDINA,141
9553,45,ADAMS COUNTY BANK,2,14311,265,68956,354,KENESAW,223
9807,46,AMBOY BANK,11,6423,125,8857,25,OLD BRIDGE,365
9955,47,"FIRST STATE BANK AND TRUST COMPANY OF LARNED, THE",264,15899,297,67550,327,LARNED,238
10250,48,"BANK OF ELK RIVER, THE",42,1607,38,55330,231,ELK RIVER,146
10849,49,FIRST STATE BANK,257,15050,278,72086,380,LONOKE,257
11145,50,LAKE-OSCEOLA STATE BANK,332,8172,144,49304,187,BALDWIN,18
11640,51,FIRST NATIONAL BANK OF CLARKSDALE,231,19070,359,38614,129,CLARKSDALE,100
11837,52,"FARMERS BANK, THE",184,5709,109,30642,89,GREENSBORO,176
12030,53,FIRST NATIONAL BANK SOUTH,246,17011,330,31510,100,ALMA,5
12142,54,"CLEVELAND STATE BANK, THE",125,12201,228,38732,131,CLEVELAND,102
12179,55,AMERICAN SAVINGS BANK,15,29899,471,45042,162,MIDDLETOWN,304
12311,56,"HUNTINGTON NATIONAL BANK, THE",314,6560,126,43215,154,COLUMBUS,111
12647,57,PORTAGE COUNTY BANK,409,10012,186,549099777,490,ALMOND,6
12656,58,EMERALD BANK,163,14944,275,67019,317,BURDEN,71
12937,59,OAK BANK,378,20226,377,60611,286,CHICAGO,93
12946,60,FARMERS BANK & TRUST COMPANY,178,1291,30,71753,377,MAGNOLIA,268
12955,61,BANK OF NEBRASKA,52,21704,385,68128,337,LA VISTA,234
13103,62,BRISTOL COUNTY SAVINGS BANK,81,23622,408,2780,10,TAUNTON,450
13251,63,ELYSIAN BANK,162,10185,195,56028,249,ELYSIAN,148
13457,64,BANK OF LEWELLEN,49,5425,106,69147,358,LEWELLEN,245
14052,65,LINCOLN COMMUNITY BANK,341,9042,162,54452,211,MERRILL,297
14155,66,F & C BANK,168,9378,172,64040,304,HOLDEN,200
14650,67,BANK OF LOCUST GROVE,51,16795,325,74352,408,LOCUST GROVE,253
14753,68,"FARMERS STATE BANK OF BUCKLIN, KANSAS, THE",188,18101,351,67834,330,BUCKLIN,67
14865,69,BANK OF EASTERN OREGON,41,16243,307,97836,470,HEPPNER,196
14977,70,"FIRST FEDERAL BANK LITTLEFIELD, TEXAS, SSB",204,30291,473,79339,440,LITTLEFIELD,251
16551,71,NORTHVIEW BANK,376,10956,207,55072,229,SANDSTONE,427
16748,72,"ELBERFELD STATE BANK, THE",160,13104,249,47613,184,ELBERFELD,144
17110,73,"HAVERFORD TRUST COMPANY, THE",300,26189,417,19087,55,RADNOR,409
17147,74,FIRST MERCHANTS BANK,214,4365,84,47305,177,MUNCIE,329
17259,75,"FIRST NATIONAL BANK IN MARLOW, THE",222,26260,418,73055,392,MARLOW,277
17464,76,BANK OF THE CASCADES,59,22407,394,97701,469,BEND,36
17950,77,"BANK OF BRIDGER, NATIONAL ASSOCIATION",35,2224,49,59014,281,BRIDGER,57
17978,78,ELIZABETHTON FEDERAL SAVINGS BANK,161,29904,472,376433326,477,ELIZABETHTON,145
18050,79,"FIRST NATIONAL BANK OF BASTROP, THE",225,3091,56,786023217,496,BASTROP,24
18135,80,"SOUTH CENTRAL BANK, NATIONAL ASSOCIATION",441,19536,368,60607,285,CHICAGO,92
18377,81,BALLY SAVINGS BANK,28,34440,493,19503,57,BALLY,20
18827,82,"NEXTIER BANK, NA",372,7900,140,16201,49,KITTANNING,231
18836,83,CAPON VALLEY BANK,91,9998,184,26851,79,WARDENSVILLE,470
18854,84,BANK 7,31,4147,81,73116,395,OKLAHOMA CITY,361
19356,85,SECURITY BANK AND TRUST COMPANY,433,9881,181,74354,409,MIAMI,302
19730,86,STANDARD BANK AND TRUST COMPANY,445,16606,320,60457,282,HICKORY HILLS,198
19936,87,CITIZENS BANK OF AMERICUS,108,15477,289,31709,101,AMERICUS,7
19972,88,FARMERS BUILDING AND SAVINGS BANK,185,34711,494,15074,45,ROCHESTER,414
20053,89,SECURITY BANK,432,10015,187,54757,221,NEW AUBURN,334
20633,90,MCNB BANK AND TRUST CO.,352,6803,129,24801,74,WELCH,479
20857,91,GRANITE FALLS BANK,291,10998,212,56241,255,GRANITE FALLS,172
21256,92,STATE BANK OF BURRTON,447,16583,319,67020,318,BURRTON,74
21359,93,AMERICAN STATE BANK OF GRYGLA,17,22263,392,56727,268,GRYGLA,182
21630,94,TECHE BANK AND TRUST COMPANY,463,20041,374,70582,365,SAINT MARTINVILLE,421
21658,95,ALLIANCE BANK,8,12511,236,54755,220,MONDOVI,310
22048,96,UNION BANK & TRUST COMPANY,470,1753,42,71655,375,MONTICELLO,315
22543,97,STATE SAVINGS BANK,454,8162,143,49635,188,FRANKFORT,157
22552,98,FIRST SOUTHEAST BANK,255,10576,202,55939,245,HARMONY,185
22730,99,WEST UNION BANK,491,2452,51,26456,78,WEST UNION,482
22936,100,FARMERS & MERCHANTS BANK,170,16673,322,30458,85,STATESBORO,443
23456,101,"FIRST NATIONAL BANK OF HENNING, THE",235,5162,96,56571,266,OTTERTAIL,372
23504,102,"BRIDGEHAMPTON NATIONAL BANK, THE",80,6976,135,11932,36,BRIDGEHAMPTON,56
23643,103,COMMERCIAL BANK & TRUST COMPANY,131,90,3,71655,374,MONTICELLO,314
23755,104,FIRST NATIONAL COMMUNITY BANK,247,5357,101,54017,208,NEW RICHMOND,336
24006,105,PCSB BANK,388,15995,301,10509,34,BREWSTER,54
24378,106,"GALION BUILDING AND LOAN BANK, THE",285,32307,489,44833,161,GALION,163
24453,107,ROCKY MOUNTAIN BANK,424,24334,410,83001,457,JACKSON,216
24659,108,PRODUCE STATE BANK,413,10178,194,56045,251,HOLLANDALE,201
24668,109,BTH BANK NATIONAL ASSOCIATION,85,3402,69,75783,426,QUITMAN,404
